SA4 Region,STATE,Sum of No children,Sum of Children,Sum of Married,Sum of Alone,Sum of Has need for assistance with core activities,Sum of Does not have need for assistance with core activities,Sum of Mortality Rate,ACPR_NAME
Adelaide - Central and Hills,SA,1820,15566,16832,14222,7913,23039,0.092654214,"Hills, Mallee & Southern"
Adelaide - North,SA,1183,17378,19755,15620,8627,25559,0.084132306,Metropolitan North
Adelaide - South,SA,1733,18655,20841,16765,8223,28511,0.088642806,Metropolitan South
Adelaide - West,SA,1374,13622,14313,13105,7590,19443,0.05561394,Metropolitan West
Australian Capital Territory,ACT,1125.147925,12034.19085,14066.84496,10517.68713,5171.48736,18764.11292,0.028017063,ACT
Ballarat,VIC,831.1572837,7645.651611,8329.489999,7312.1933,3520.722529,11799.44723,0.052099662,Grampians
Barossa - Yorke - Mid North,SA,606,6735,8099.999999,5917,3005,10843,0.18576693,Mid North
Bendigo,VIC,830,7545,8777.000001,7095,3303,12049,0.107332104,Loddon-Mallee
Brisbane - East,QLD,966,9318,10481,8687,4349,14430,0.344413284,Brisbane South
Brisbane - North,QLD,1363,9474,10007,9217,4491,14526,0.040554495,Brisbane North
Brisbane - South,QLD,1424,12055,13032,11296,6140,17974,0.033276132,Brisbane South
Brisbane - West,QLD,731.8468349,6550.678149,7646.950761,5809.845473,2859.494318,10174.96739,0.033433257,Brisbane North
Brisbane Inner City,QLD,1206,5912,5727,6431,3039,9690,0.024766005,Brisbane North
Bunbury,WA,424.9230808,6790.808205,8417.855598,5732.978615,2775.434362,10991.27735,0.076794132,Metropolitan South West
Cairns,QLD,706.0000001,7412,9117.000001,7650.000001,3771,12478,0.074239896,Far North
Capital Region,NSW,1125,10890,13154,10407,4940,18180,0.160482528,Southern Highlands
Central Coast,NSW,2308,19577,21716,19495,8813,31138,0.116913792,Central Coast
Central West,NSW,1141,10589,11863,9987,4643,16960,0.158903784,Central West
Coffs Harbour - Grafton,NSW,778,7910,9531.999999,7489,3754,12852,0.112297032,Far North Coast
Darling Downs - Maranoa,QLD,542,5777,7194,5421,2729,9648,0.159202593,Darling Downs
Darwin,NT,172,1612,2069,1956,983,2846,0.023589885,Darwin
Far West and Orana,NSW,512,5996,6470,5965,2751,9416.999999,0.163626021,Orana Far West
Geelong,VIC,1251,14071,16179,12246,6637,21112,0.096837918,Barwon-South Western
Gold Coast,QLD,2559.495709,21391.78523,26541.77054,21653.73362,10230.98421,35372.03074,0.073968846,Logan River Valley
Hobart,TAS,1168,10871,11656,10308,5173,16414,0.100332948,Southern
Hume,VIC,871,8911,10538,8103,3965,14347,0.105954864,Eastern Metro
Hunter Valley exc Newcastle,NSW,1116,11382,13390,10445,5188,17868,0.13792032,Hunter
Illawarra,NSW,1236,15398,17352,13565,8002.999999,22255,0.093624222,Illawarra
Ipswich,QLD,831,9163,10380,8894,4624,14080,0.064379328,Brisbane South
Latrobe - Gippsland,VIC,1218,14924,17805,13606,6428,24145,0.169259076,Gippsland
Launceston and North East,TAS,812,7312,8282,6866,3561,11420,0.168615081,Northern
Logan - Beaudesert,QLD,678.4903297,7836.113647,9386.948685,7757.172945,4206.839895,12088.91901,0.059695578,Logan River Valley
Mandurah,WA,361,5153,7319,4255,1911,9020,0.09839112,Metropolitan South West
Melbourne - Inner,VIC,2678,16741,17816,17058,10623,24507,0.027638358,Northern Metro
Melbourne - Inner East,VIC,2821,19670,23651,16436,9003,31002,0.041219739,Eastern Metro
Melbourne - Inner South,VIC,2840,20912,21839,19707,10028,31474,0.042186528,Eastern Metro
Melbourne - North East,VIC,1444,18243,21565,16178,10356,26060,0.068472168,Hume
Melbourne - North West,VIC,1025,13759,16633,12080,8283.000001,19322,0.069068592,Loddon-Mallee
Melbourne - Outer East,VIC,1749,21129,24379,18984,9314,32942.00001,0.07625043,Eastern Metro
Melbourne - South East,VIC,2252,27148,32663,23493,14586,40239,0.066861258,Eastern Metro
Melbourne - West,VIC,1467,18500,20687,17592,11860,24925,0.055638222,Grampians
Mid North Coast,NSW,1691.974177,14947.26922,18855.28038,14230.55096,6632.139491,25366.63587,0.14300673,Mid North Coast
Moreton Bay - North,QLD,1076.245579,10330.96104,12314.04317,10063.89269,5042.409844,16508.41136,0,Cabool
Moreton Bay - South,QLD,367.9999999,4331,5312,3845,2037,6864,0.048184434,Cabool
Mornington Peninsula,VIC,1425,15232,18560,14277,5884,25103,0.099274686,Southern Metro
Murray,NSW,624,6418,7779.999999,6014,2770,10716,0.172343502,Orana Far West
New England and North West,NSW,888.9999999,9574,10826,9058,4069,15292,0.159772959,New England
Newcastle and Lake Macquarie,NSW,1927,20132,21671,18731,10024,29624,0.111580872,Hunter
North West,VIC,863.9999999,9493,10666,8488.000001,4299,14603,0.175568886,Grampians
Northern Territory - Outback,NT,140,839,865,1221,636,1458,0.033257085,Alice Springs
Perth - Inner,WA,1053,6644,7055,6518,3071,10622,0.039660333,Metropolitan East
Perth - North East,WA,622,8047,9378.000001,7433,3766,12408,0.06474522,Metropolitan East
Perth - North West,WA,1441,18703,21910,16337,7632,28979,0.05934411,Metropolitan North
Perth - South East,WA,1465,16525,18424,15505,7285.999999,25302,0.064852242,Metropolitan East
Perth - South West,WA,1149.855514,14935.15714,17171.04271,13174.97068,6367.586693,22917.32846,0.033524673,Metropolitan South West
Queensland - Outback,QLD,180,1704,2076,1906,968,3066,0.066621474,Central West
Richmond - Tweed,NSW,1611,14629,16722,13751,6922.999999,22980,0.175642191,Far North Coast
Riverina,NSW,674,7950,8814.000001,7196,3403,12413,0.146357559,Riverina/Murray
Shepparton,VIC,528,7117,8738,6337,3370,11198,0.119969118,Hume
SA - Outback,SA,216,3611,4089,3504,1666,5661,0.203182242,Eyre Peninsula
SA - South East,SA,800.0000001,11072,13777,9320,4669,17763,0,"Hills, Mallee & Southern"
South East,TAS,128,1520,2063,1421,715.0000001,2734,0.131118588,Southern
Southern Highlands and Shoalhaven,NSW,1029.44976,9419.814776,12408.31442,8477.234201,4216.65018,16156.6698,0.064628343,Illawarra
Sunshine Coast,QLD,1760,17089,22278,14940,7547.000001,28445,0.090025044,Sunshine Coast
Sydney - Baulkham Hills and Hawkesbury,NSW,700.902343,7280.598127,9383.305156,6084.471337,3381.70404,11894.37267,0.060415326,Nepean
Sydney - Blacktown,NSW,690,8554,8614,8547,5210,11485,0.027709323,Western Sydney
Sydney - City and Inner South,NSW,1311,6531,6993,7623,4214,10751,0.023679156,Inner West
Sydney - Eastern Suburbs,NSW,2156,10189,11061,10616,4976,16753,0.035192877,South East Sydney
Sydney - Inner South West,NSW,2935,24944,28955,22920,14708,36089,0.038213445,Inner West
Sydney - Inner West,NSW,1833,10516,11879,10527,7030,15809,0.033404685,Inner West
Sydney - North Sydney and Hornsby,NSW,3012.528353,17030.84023,20374.88608,15009.87772,6918.063294,28683.72998,0.03204924,Northern Sydney
Sydney - Northern Beaches,NSW,1414.218358,11958.93406,13920.46291,11071.05261,4996.705117,19664.22687,0.040042206,Northern Sydney
Sydney - Outer South West,NSW,532.0000001,6817,7373.999999,6635,3802,9839,0.061007082,South West Sydney
Sydney - Outer West and Blue Mountains,NSW,1077,10088,10396,10136,4953,15097,0.133107372,Nepean
Sydney - Parramatta,NSW,1656,14876,16539,14537,8967,21135,0.033693504,South West Sydney
Sydney - Ryde,NSW,1235,8335,9402,7411,4137,12898,0.036678312,Northern Sydney
Sydney - South West,NSW,894.0000001,12031,13685,11495,8785,15329,0,Nepean
Sydney - Sutherland,NSW,958.9999999,10661,12097,9232,4056,16673,0.082328376,South East Sydney
Toowoomba,QLD,740,6634,7642,6143,2699,10565,0.043640037,Darling Downs
Townsville,QLD,656.9999999,7462,8439,7267.000001,3807,11554,0.073671012,Northern
Warrnambool and South West,VIC,655.9999999,7172,7924,6489,3014,11288,0.120934716,Barwon-South Western
West and North West,TAS,526.9999999,5905,6968,5459,2659,9369.999999,0.184917672,North Western
Western Australia - Wheat Belt,WA,410,6335,8101,5522,2477,10819,0.136645074,Great Southern
Wide Bay,QLD,1420.922278,14892.22407,20348.24609,14212.2184,7147.548606,25528.67109,0.10902228,Sunshine Coast
