SA4 Region,State,Remoteness,Gender,Age Group,Remoteness Proportion,Gender Count,Gender Total,Gender Proportion,No children,One child,Two children,Three children,Four children,Five children,Six children,Seven children,Eight or more children,Not stated,Not applicable_C,Never married,Widowed,Divorced,Separated,Married,Not applicable_M,Has need for assistance with core activities,Does not have need for assistance with core activities,Not stated,Total Population,Total Places,Total Funding
Capital Region,New South Wales,Major cities,Male,70-79 years,18%,7685,15391,0.499317783,60.17654811,43.19196852,164.4582142,179.0686052,112.591326,51.8668882,23.46794061,11.14042317,10.13595879,48.03166055,701.7553448,60.26786305,289.9249472,137.2463609,38.80885121,879.180281,0,155.9659244,1174.036235,75.97403342,18977.34561,399.2877871,24107189.22
Central Coast,New South Wales,Major cities,Male,70-79 years,98%,11240,24435,0.459995908,543.2938954,479.2708803,1617.25743,1497.777859,830.4957305,312.4503481,146.5315485,62.67041615,33.81497274,423.814325,5067.737248,457.6292978,2334.585718,1344.483316,287.2018352,6591.665353,0,1244.390997,9174.227538,596.0452529,140752.3443,615.167861,41980269.83
Hunter Valley exc Newcastle,New South Wales,Major cities,Male,70-79 years,38%,7517,15557,0.483190847,118.8813004,96.10497649,373.3095041,382.1978256,239.0588144,97.95671014,43.33056744,21.29493699,16.85077623,98.6974036,1391.948186,111.4743658,604.4058637,267.760686,66.47723808,1829.327674,0,344.7928058,2366.515606,169.4336291,45042.86554,384.7809778,23662297.25
Illawarra,New South Wales,Major cities,Male,70-79 years,92%,8972,19306,0.464725992,300.7726698,316.5579022,1285.003236,1178.772889,622.8767347,251.2838334,105.3770914,40.52965055,29.43732513,274.7483679,3827.705523,279.4412748,1820.847879,721.4277797,172.7842997,5238.137362,0,1236.794284,6597.373853,403.5899939,117742.0479,461.3180014,28998262.59
Newcastle and Lake Macquarie,New South Wales,Major cities,Male,70-79 years,99%,11012,23942,0.459944867,480.0454196,417.9272682,1658.920042,1528.289224,847.7300654,339.3660768,150.7278672,67.5991647,56.18038688,356.265868,5029.743255,457.6646151,2387.438067,1157.864071,227.0053031,6705.563088,0,1410.447436,9008.045447,515.6720064,156485.215,626.4449089,42648783.04
Richmond - Tweed,New South Wales,Major cities,Male,70-79 years,28%,8544,18232,0.468626591,118.2834733,86.42260505,315.555349,317.0156388,203.2457885,87.48463399,44.20695466,18.45275284,15.13391241,80.18318502,1134.246909,105.9373868,485.7454868,276.7912927,56.81854833,1495.071241,0,280.9066548,2020.908321,118.1507197,30217.37844,482.9978065,34535530.82
Sydney - Baulkham Hills and Hawkesbury,New South Wales,Major cities,Male,70-79 years,85%,4850,9777,0.496062187,172.0752471,150.9875943,660.0435337,546.1702084,269.0784502,100.3772275,32.89673842,18.13538144,18.13538144,108.8122886,2045.502325,120.1996211,695.4707904,284.6833132,75.49379714,2942.571076,0,416.69202,3541.88217,160.2661615,88741.48241,361.7946884,21897814.33
Sydney - Blacktown,New South Wales,Major cities,Male,70-79 years,100%,5316,11504,0.462100139,184.8400556,213.4902643,674.6662031,642.7812935,419.1248261,231.5121697,129.8501391,72.0876217,82.25382476,203.7861613,2456.524339,159.8866481,1449.608136,508.310153,179.7569541,3016.589708,0,1030.02121,4000.400904,284.1915855,140261.7173,270.3285813,18231227.08
Sydney - City and Inner South,New South Wales,Major cities,Male,70-79 years,100%,5315,10741,0.494832883,373.5988269,341.9295224,760.5581417,449.3082581,237.519784,107.3787357,54.92645005,24.24681128,32.16413742,304.8170561,2630.036775,773.9186296,1068.839028,769.9599665,197.4383205,2504.349223,0,906.0390094,3833.96518,570.5423145,130905.0703,242.633057,18876650.27
Sydney - Eastern Suburbs,New South Wales,Major cities,Male,70-79 years,100%,6002,13087,0.458623061,502.1922519,361.8535952,932.3806831,681.9724918,292.601513,88.97287384,49.98991365,19.26216856,8.255215099,309.1119431,2752.655612,630.6067089,1138.761061,745.2624742,160.5180714,3327.310308,0,607.2169328,4849.938871,547.1373118,114447.0918,351.3052647,18841561.07
Sydney - Inner South West,New South Wales,Major cities,Male,70-79 years,100%,14554,31036,0.468939296,709.9740946,729.669545,2492.41236,1651.604202,816.8922542,348.4218972,181.0105684,102.2287666,147.7158783,550.5347339,6824.942518,684.1824333,3095.937234,1164.376273,383.1234051,9226.849594,0,2576.352494,11155.12798,825.8021008,245541.3049,849.7180044,57003018.29
Sydney - Inner West,New South Wales,Major cities,Male,70-79 years,100%,6485,14063,0.461139159,435.3153666,356.4605703,1086.904999,730.9055678,340.3206997,144.7976961,57.18125578,30.89632369,30.43518453,283.6005831,2990.487449,592.1026808,1377.422669,615.6207779,159.5541492,3740.299723,0,1120.568158,4953.095712,412.2584086,121538.298,490.3446391,32848779.17
Sydney - North Sydney and Hornsby,New South Wales,Major cities,Male,70-79 years,100%,9700,20966,0.46265382,705.6301639,423.7465736,1528.25123,1314.535566,584.4939151,185.1588289,75.07683859,23.02970509,28.55683431,321.9552771,4467.762787,641.1469896,1628.20015,943.7573145,175.4863528,6266.843348,0,721.7509575,8442.229291,493.296283,172567.5679,544.3893282,30276501.34
Sydney - Northern Beaches,New South Wales,Major cities,Male,70-79 years,100%,6725,14318,0.469688504,314.2953463,285.2112993,1142.25249,941.9478438,423.5950712,148.23482,42.21877786,18.76390127,14.54202348,224.6977177,3154.680901,265.9783005,1195.260511,699.4244199,146.8275274,4411.862286,0,535.7093813,5867.471927,314.2953463,111476.3375,402.5230479,24632376.63
Sydney - Outer South West,New South Wales,Major cities,Male,70-79 years,85%,4328,9187,0.471100468,134.7112306,143.5316088,494.7430314,464.272634,286.6622913,137.5177146,72.16673067,26.46113458,44.10189097,143.9325351,1735.208946,117.4714005,878.0285565,367.2484739,105.443612,2219.126968,0,596.5783069,2897.09331,191.6427626,94540.02088,276.0648742,16690175.18
Sydney - Outer West and Blue Mountains,New South Wales,Major cities,Male,70-79 years,95%,6178,13368,0.462148414,274.2878099,262.9138338,779.9922889,730.5592386,453.2092043,227.4795234,106.7403917,46.80828655,39.80891659,222.2299959,2702.631722,283.9119436,1299.258047,740.1833723,160.9855089,3360.135037,0,765.1186277,4745.135366,335.0948364,126072.2141,340.4493316,24241086.16
Sydney - Parramatta,New South Wales,Major cities,Male,70-79 years,100%,9160,19191,0.477307071,423.371372,380.4137356,1283.478714,1066.303997,620.9764994,294.0211558,149.8744203,79.71028086,121.7133031,371.8222083,4372.132771,462.0332448,2065.307696,814.7631702,221.947788,5596.902715,0,1672.961284,6942.908655,549.3804387,188397.3967,509.6048495,33800126.82
Sydney - Ryde,New South Wales,Major cities,Male,70-79 years,100%,4399,9722,0.452478914,269.2249537,184.1589179,710.3918947,620.3485908,306.7807036,106.3325447,47.51028595,18.09915655,15.38428307,132.5763217,1990.454742,256.5555441,838.4434273,377.3674141,98.64040321,2827.540732,0,526.2329768,3694.490331,177.3717342,73684.3812,302.4067409,21050119.06
Sydney - South West,New South Wales,Major cities,Male,70-79 years,99%,7968,16990,0.468981754,256.310482,315.2804661,974.1655638,874.3344884,540.9451296,324.1027472,197.8048285,125.8335881,209.4130931,375.1791113,3699.786088,254.9174903,1994.764186,626.3819569,251.6671762,4763.103124,0,2000.336153,5361.160915,529.8011956,167236.0889,384.7213655,28237103.45
Sydney - Sutherland,New South Wales,Major cities,Male,70-79 years,99%,5671,12273,0.462071213,216.8830882,235.1085578,982.3528115,799.186842,404.1497884,127.1226505,53.76513532,17.76983286,13.21346546,160.3841325,2583.915953,161.7510427,1113.120556,509.8575121,102.9739032,3710.249974,0,492.5433159,4886.2484,214.6049045,95804.45914,411.2433796,24035716.78
Geelong,Victoria,Major cities,Male,70-79 years,68%,7891,17043,0.463005339,197.0191262,185.7429918,712.5890495,743.2851932,460.1289291,188.8752514,106.496825,44.79131169,38.21356661,188.8752514,2471.666018,186.6826697,1116.337307,440.7089199,110.2555365,3485.578437,0,659.967089,4409.595006,268.7478701,78510.08583,465.9377061,31415414.61
Melbourne - Inner,Victoria,Major cities,Male,70-79 years,100%,10317,22587,0.456767167,664.1394608,540.8123257,1661.262186,1196.729977,558.6262452,223.3591446,107.3402842,54.81206003,63.94740337,533.9608182,4712.466861,1069.291938,2193.395936,1214.08713,301.9230974,5539.215434,0,1872.288617,7597.408288,846.3895604,229292.0934,580.0943021,41696767.5
Melbourne - Inner East,Victoria,Major cities,Male,70-79 years,100%,10764,23567,0.456740357,630.7584334,440.2977044,1782.200874,1504.959477,723.0199856,246.1830526,107.333984,41.10663216,39.73641108,330.2232783,4916.353206,544.8912462,1960.329613,749.5109263,186.3500658,7325.20185,0,1181.587304,9120.191454,461.3077609,155292.635,685.7195226,40710992.98
Melbourne - Inner South,Victoria,Major cities,Male,70-79 years,100%,10109,22675,0.445821389,603.1963396,510.911312,1748.511488,1364.659272,632.1747299,217.5608379,86.93517089,38.34063947,37.0031753,360.6695039,4506.808423,632.6205513,2019.570893,1085.575083,233.6104079,6138.068886,0,1157.798148,8426.470077,523.3943109,168615.8909,708.7074014,42756972.14
Melbourne - North East,Victoria,Major cities,Male,70-79 years,96%,10998,23556,0.466887417,359.7983895,377.2296158,1667.587318,1444.557012,758.4818223,300.8003927,149.28281,76.87617763,88.9439497,391.085206,4915.605823,351.7532081,2284.384557,725.4071877,235.9919871,6930.923759,0,1803.014538,8179.714691,546.1784248,195339.6856,589.9900659,40153474.5
Melbourne - North West,Victoria,Major cities,Male,70-79 years,91%,8543,18337,0.46588864,242.6857514,290.7128791,1152.651065,1042.146169,581.0007394,257.9864293,132.1808559,68.42803149,89.67897295,308.9886888,3630.935857,209.5342828,1815.680438,507.0474632,189.5583978,5067.924519,0,1497.766354,5862.709729,431.3941116,135360.4217,412.777335,25140983.95
Melbourne - Outer East,Victoria,Major cities,Male,70-79 years,94%,12669,26842,0.471984204,425.7886074,442.1480866,1790.699751,1639.485105,970.0729021,366.9829119,145.9088686,63.22717639,63.22717639,359.0242463,5601.57411,331.611065,2337.636934,1196.010574,274.5739618,7730.959295,0,1271.175749,10094.68297,507.1438554,211835.359,794.3494153,55508511.14
Melbourne - South East,Victoria,Major cities,Male,70-79 years,97%,16879,35607,0.474036004,560.6864872,680.6366291,2501.029396,2082.812426,1187.092784,521.1626856,243.1173375,112.5968765,149.3632035,564.822699,7757.235424,458.2003506,3418.808834,1302.906714,352.9567395,10829.52163,0,2511.140136,13082.83789,768.875814,302411.3122,932.4288199,66538202.59
Melbourne - West,Victoria,Major cities,Male,70-79 years,96%,11770,24890,0.472880675,379.6816193,442.5066355,1575.633195,1379.418833,842.6746731,374.2185744,203.0431681,114.2686888,162.980839,497.1370843,5358.336522,423.3859784,2754.285128,935.5464361,300.4674685,6916.670075,0,2329.533388,8235.995414,765.736791,280463.1639,667.3922593,48087312.76
Mornington Peninsula,Victoria,Major cities,Male,70-79 years,98%,9545,20233,0.471754065,380.4616295,342.4618078,1334.164472,1286.432989,733.581924,288.24255,120.950652,43.09735877,38.46323417,379.9982171,4423.271929,312.3399979,1798.967169,1078.360794,234.4867047,5953.923284,0,902.2640594,7888.206892,587.6069991,125615.3618,489.9952222,32629305.33
Brisbane - East,Queensland,Major cities,Male,70-79 years,96%,5524,11687,0.472661932,230.1231757,200.2840213,680.8752506,704.3848874,437.6409314,211.1346229,81.37951203,39.78553921,33.45602161,169.5406501,2497.446802,181.2954685,1066.523716,590.905679,127.9466772,3318.927766,0,618.032183,4435.183406,231.4795009,95590.18326,330.5482444,19501489.49
Brisbane - North,Queensland,Major cities,Male,70-79 years,100%,4958,11276,0.439694927,316.5803476,183.7924796,657.3439163,673.6126286,402.3208585,192.1466832,93.65501951,36.93437389,36.49467896,189.5085137,2180.007449,308.6658389,1065.380809,527.6339127,123.5542746,2936.282724,0,585.2339482,4133.572011,236.9955658,84003.27616,358.9376254,22171893.26
Brisbane - South,Queensland,Major cities,Male,70-79 years,100%,6752,14679,0.459976838,355.1021187,287.9455004,943.412494,853.7170107,513.7941277,235.9681177,102.5748348,49.67749847,62.55684992,244.7076776,3105.763608,372.5812385,1415.808706,677.085905,163.7517542,4125.532257,0,879.0157368,5537.201172,337.6229988,144472.285,458.2902563,30998132.88
Brisbane - West,Queensland,Major cities,Male,70-79 years,100%,3619,7852,0.460901681,194.1945187,141.734388,511.2561854,497.4508879,291.291778,110.9025569,49.69907113,23.00882923,13.80529754,118.7255588,1665.379059,157.3803919,677.3799324,309.6988414,70.40701743,2401.661595,0,349.2740277,3107.572475,161.0618046,78392.4617,225.2272881,13650396.49
Brisbane Inner City,Queensland,Major cities,Male,70-79 years,100%,3714,7692,0.482839314,295.0148206,155.9570983,451.4547582,426.8299532,257.3533541,114.9157566,44.90405616,20.76209048,23.17628705,132.7808112,1793.265211,465.4570983,741.6411856,512.2925117,101.3962559,1895.144306,0,413.7932917,3056.855694,245.7652106,108143.9353,209.5522623,16944123.61
Gold Coast,Queensland,Major cities,Male,70-79 years,98%,14584,30210,0.482754055,702.8879935,668.4280717,2060.514501,1730.548948,947.8838757,400.3015571,139.2558483,59.00671537,41.0686739,624.0550218,6884.431496,489.9917644,2709.116316,1891.047214,388.9722677,8777.366925,0,1640.858741,11632.8199,988.0084422,239633.824,848.1988746,55675152.99
