Unique,State/Territory,Remoteness,Sex,Age Group,Death,To hospital,To another aged care service,Return to community,Other,Exits,Lives alone,Lives with family,Lives with others,Unknown,Not applicable,Admissions,Widowed,Married/De Facto,Divorced,Separated,Single,Unknown,Living
NSWMajor citiesMale70-74,NSW,Major cities,Male,70-74,277,18,11,29,12,347,100,144,16,0,31,291,114,331,215,69,280,29,1038
NSWMajor citiesFemale70-74,NSW,Major cities,Female,70-74,206,15,12,30,6,269,73,95,8,0,13,189,364,330,207,48,173,32,1154
NSWInner regionalMale70-74,NSW,Inner regional,Male,70-74,108,3,2,7,5,125,42,40,5,0,8,95,37,128,61,30,91,13,360
NSWInner regionalFemale70-74,NSW,Inner regional,Female,70-74,82,2,5,10,2,101,29,36,4,0,8,77,147,153,68,16,60,9,453
NSWOuter regionalMale70-74,NSW,Outer regional,Male,70-74,28,2,4,2,1,37,15,8,2,0,3,28,9,31,13,4,22,3,82
NSWOuter regionalFemale70-74,NSW,Outer regional,Female,70-74,31,0,2,3,0,36,6,11,2,0,3,22,57,42,7,3,12,3,124
NSWRemoteMale70-74,NSW,Remote,Male,70-74,1,0,0,0,0,1,24,13,0,0,4,41,1,1,0,0,2,0,4
NSWRemoteFemale70-74,NSW,Remote,Female,70-74,1,0,0,0,0,1,0,0,0,0,1,1,2,1,1,0,0,0,4
VicMajor citiesMale70-74,Vic,Major cities,Male,70-74,170,6,8,13,7,204,73,74,17,0,8,172,91,279,136,52,206,30,794
VicMajor citiesFemale70-74,Vic,Major cities,Female,70-74,162,8,8,21,3,202,55,84,8,0,10,157,280,304,138,27,136,13,898
VicInner regionalMale70-74,Vic,Inner regional,Male,70-74,67,2,2,11,3,85,21,33,1,0,4,59,17,95,39,14,63,5,233
VicInner regionalFemale70-74,Vic,Inner regional,Female,70-74,69,3,1,5,3,81,28,23,2,0,7,60,86,93,37,6,41,6,269
VicOuter regionalMale70-74,Vic,Outer regional,Male,70-74,29,2,0,4,1,36,4,10,0,0,0,14,5,19,14,5,17,1,61
VicOuter regionalFemale70-74,Vic,Outer regional,Female,70-74,12,0,1,2,1,16,6,3,1,0,0,10,17,19,7,4,7,1,55
VicRemoteMale70-74,Vic,Remote,Male,70-74,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
VicRemoteFemale70-74,Vic,Remote,Female,70-74,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
QldMajor citiesMale70-74,Qld,Major cities,Male,70-74,148,3,3,20,2,176,56,54,16,0,9,135,53,189,116,31,100,12,501
QldMajor citiesFemale70-74,Qld,Major cities,Female,70-74,113,4,0,18,1,136,47,46,4,0,9,106,171,179,87,13,73,15,538
