SA4 Regions,State,Gender,Deaths,Population,Mortality Rate
Capital Region,New South Wales,Male,1061.0056,111366,0.009527195
Central Coast,New South Wales,Male,1627,162137,0.010034724
Central West,New South Wales,Male,980,104867,0.009345171
Coffs Harbour - Grafton,New South Wales,Male,709.99998,67710,0.010485895
Far West and Orana,New South Wales,Male,567,58338,0.009719222
Hunter Valley exc Newcastle,New South Wales,Male,1030,132735,0.007759822
Illawarra,New South Wales,Male,1202.9947,148700,0.008090079
Mid North Coast,New South Wales,Male,1307,104816,0.01246947
Murray,New South Wales,Male,579.99781,57943,0.010009799
New England and North West,New South Wales,Male,888,91468,0.009708313
Newcastle and Lake Macquarie,New South Wales,Male,1665.9926,181237,0.009192343
Richmond - Tweed,New South Wales,Male,1215,118461,0.01025654
Riverina,New South Wales,Male,674.99441,79530,0.008487293
Southern Highlands and Shoalhaven,New South Wales,Male,793.99999,72960,0.010882675
Sydney - Baulkham Hills and Hawkesbury,New South Wales,Male,556,114773,0.004844345
Sydney - Blacktown,New South Wales,Male,844.99566,171209,0.004935463
Sydney - City and Inner South,New South Wales,Male,750,167036,0.00449005
Sydney - Eastern Suburbs,New South Wales,Male,806,138195,0.005832338
Sydney - Inner South West,New South Wales,Male,1926.9945,293452,0.006566643
Sydney - Inner West,New South Wales,Male,838,148278,0.005651546
Sydney - North Sydney and Hornsby,New South Wales,Male,1007,202585,0.004970753
Sydney - Northern Beaches,New South Wales,Male,820,129664,0.006324038
Sydney - Outer South West,New South Wales,Male,640,130065,0.004920617
Sydney - Outer West and Blue Mountains,New South Wales,Male,941.67649,153648,0.006128791
Sydney - Parramatta,New South Wales,Male,1330,232504,0.005720332
Sydney - Ryde,New South Wales,Male,531,91349,0.005812872
Sydney - Outer West and Blue Mountains,New South Wales,Male,1102.3235,203959,0.005404633
Sydney - Sutherland,New South Wales,Male,725.00001,110453,0.006563878
Ballarat,Victoria,Male,680,77442,0.008780765
Bendigo,Victoria,Male,653,74994,0.008707363
Geelong,Victoria,Male,1124,136876,0.008211812
Hume,Victoria,Male,797,84454,0.00943709
Latrobe - Gippsland,Victoria,Male,1338,134446,0.009951951
Melbourne - Inner,Victoria,Male,1516.9994,300032,0.005056125
Melbourne - Inner East,Victoria,Male,1163,181254,0.00641641
Melbourne - Inner South,Victoria,Male,1377,203108,0.006779644
Melbourne - North East,Victoria,Male,1427,250106,0.005705581
Melbourne - North West,Victoria,Male,1093,183929,0.00594251
Melbourne - Outer East,Victoria,Male,1616.0049,253260,0.006380814
Melbourne - South East,Victoria,Male,2156.9951,385111,0.00560097
Melbourne - West,Victoria,Male,1772,370384,0.004784224
Mornington Peninsula,Victoria,Male,1220,144896,0.008419832
North West,Victoria,Male,749.99999,76101,0.009855324
Shepparton,Victoria,Male,674,65657,0.010265471
Warrnambool and South West,Victoria,Male,622,61680,0.010084306
Brisbane - East,Queensland,Male,711.94939,112606,0.006322482
Brisbane - North,Queensland,Male,680.0024,103499,0.006570135
Brisbane - South,Queensland,Male,967.00245,173891,0.005560969
Brisbane - West,Queensland,Male,439.9917,91304,0.004818975
Brisbane Inner City,Queensland,Male,564.00587,130074,0.004336038
Cairns,Queensland,Male,836.95496,122264,0.006845473
Darling Downs - Maranoa,Queensland,Male,606.96073,65111,0.009321938
Fitzroy,#N/A,Male,712.0059,116167,0.006129158
Gold Coast,Queensland,Male,1814.9985,282375,0.006427618
Ipswich,Queensland,Male,942.9991,163095,0.005781901
Logan - Beaudesert,Queensland,Male,866.99298,160543,0.005400379
Mackay,#N/A,Male,492.99054,90655,0.005438095
Brisbane - East,Queensland,Male,1007.0468,117566,0.0085658
Moreton Bay - South,Queensland,Male,381.99907,96626,0.003953378
Queensland - Outback,Queensland,Male,272.02238,44126,0.006164673
Sunshine Coast,Queensland,Male,1333,169520,0.007863379
Toowoomba,Queensland,Male,562.03927,73660,0.007630183
Townsville,Queensland,Male,783.0216,117732,0.006650882
Wide Bay,Queensland,Male,1488.9912,143959,0.010343162
Adelaide - Central and Hills,South Australia,Male,1055,144706,0.007290644
Adelaide - North,South Australia,Male,1528,211915,0.007210438
Adelaide - South,South Australia,Male,1280,175691,0.007285518
Adelaide - West,South Australia,Male,1050,114534,0.009167583
Barossa - Yorke - Mid North,South Australia,Male,621.99995,56264,0.011055025
South Australia - Outback,South Australia,Male,393.92574,44600,0.008832416
South Australia - Outback,South Australia,Male,881.07424,94341,0.009339251
Bunbury,Western Australia,Male,596,87932,0.006777965
Mandurah,Western Australia,Male,442,48235,0.009163471
Perth - Inner,Western Australia,Male,571,89090,0.006409249
Perth - North East,Western Australia,Male,765.99999,129151,0.005931042
Perth - North West,Western Australia,Male,1426,274761,0.005189965
Perth - South East,Western Australia,Male,1411,253749,0.005560613
Perth - South West,Western Australia,Male,1219,205953,0.005918826
Western Australia - Wheat Belt,Western Australia,Male,578,70063,0.008249718
Western Australia - Outback,#N/A,Male,182.99807,56881,0.003217209
Western Australia - Outback,#N/A,Male,434.99989,64138,0.006782249
Hobart,Tasmania,Male,908,110360,0.008227619
Launceston and North East,Tasmania,Male,696.99998,70397,0.00990099
South East,Tasmania,Male,155,19360,0.008006198
West and North West,Tasmania,Male,596.9998,54894,0.010875502
Darwin,Northern Territory,Male,364,75750,0.004805281
Northern Territory - Outback,Northern Territory,Male,310.99999,51299,0.006062496
Australian Capital Territory,Australian Capital Territory,Male,947.99992,197103,0.004809668
Capital Region,New South Wales,Female,923.00315,111149,0.008304197
Central Coast,New South Wales,Female,1610,170354,0.009450908
Central West,New South Wales,Female,870,104683,0.008310805
Coffs Harbour - Grafton,New South Wales,Female,578.99998,70350,0.008230277
Far West and Orana,New South Wales,Female,497,58737,0.008461447
Hunter Valley exc Newcastle,New South Wales,Female,1012,133780,0.007564658
