YEAR,STATE,ACPR_NAME,AGE_GROUP,SEX,INDIGENOUS_STATUS,Admission,Exit,LOS_MONTHS,Living
2008,ACT,ACT,0-49,F,2,6,0,0,2
2008,ACT,ACT,0-49,M,2,3,0,0,3
2008,ACT,ACT,100+,F,2,4,15,55.06666667,11
2008,ACT,ACT,50-54,F,2,3,0,0,4
2008,ACT,ACT,50-54,M,2,2,0,0,6
2008,ACT,ACT,55-59,F,1,2,0,0,0
2008,ACT,ACT,55-59,F,2,8,0,0,6
2008,ACT,ACT,55-59,M,2,4,0,0,10
2008,ACT,ACT,60-64,F,2,16,0,0,14
2008,ACT,ACT,60-64,M,2,20,0,0,23
2008,ACT,ACT,65-69,F,2,34,0,0,37
2008,ACT,ACT,65-69,M,2,32,0,0,28
2008,ACT,ACT,70-74,F,2,50,0,0,44
2008,ACT,ACT,70-74,M,2,47,0,0,34
2008,ACT,ACT,75-79,F,1,2,0,0,1
2008,ACT,ACT,75-79,F,2,129,0,0,118
2008,ACT,ACT,75-79,M,2,111,0,0,68
2008,ACT,ACT,80-84,F,2,235,0,0,245
2008,ACT,ACT,80-84,M,2,163,0,0,91
2008,ACT,ACT,85-89,F,2,281,0,0,319
2008,ACT,ACT,85-89,M,2,111,0,0,120
2008,ACT,ACT,90-94,F,2,163,0,0,254
2008,ACT,ACT,90-94,M,2,46,0,0,70
2008,ACT,ACT,95-99,F,2,52,0,0,95
2008,ACT,ACT,95-99,M,2,21,0,0,22
2008,NSW,Central Coast,0-49,F,2,3,0,0,8
2008,NSW,Central Coast,0-49,M,2,10,0,0,12
2008,NSW,Central Coast,100+,F,2,8,17,40.71176471,19
2008,NSW,Central Coast,100+,M,2,2,3,5.066666667,2
2008,NSW,Central Coast,50-54,F,1,1,0,0,0
2008,NSW,Central Coast,50-54,F,2,9,0,0,12
2008,NSW,Central Coast,50-54,M,2,9,0,0,8
2008,NSW,Central Coast,55-59,F,2,14,0,0,10
2008,NSW,Central Coast,55-59,M,2,12,0,0,11
2008,NSW,Central Coast,60-64,F,2,19,0,0,19
2008,NSW,Central Coast,60-64,M,1,5,0,0,0
2008,NSW,Central Coast,60-64,M,2,25,0,0,27
2008,NSW,Central Coast,65-69,F,2,51,0,0,31
2008,NSW,Central Coast,65-69,M,2,61,0,0,43
2008,NSW,Central Coast,70-74,F,1,2,0,0,0
2008,NSW,Central Coast,70-74,F,2,125,0,0,109
2008,NSW,Central Coast,70-74,M,2,108,0,0,77
2008,NSW,Central Coast,75-79,F,2,295,0,0,219
